topic,word_id,word,kana,romaji
japanese_jlpt_n1,confession_acknowledgment,告白,こくはく,kokuhaku
japanese_jlpt_n1,national_defense,国防,こくぼう,kokubou
japanese_jlpt_n1,national_ownership,国有,こくゆう,kokuyū
japanese_jlpt_n1,paradise,極楽,ごくらく,gokuraku
japanese_jlpt_n1,u_n_united_nations,国連,こくれん,kokuren
japanese_jlpt_n1,dark_brown,焦げ茶,こげちゃ,kogecha
japanese_jlpt_n1,word_root_word_derivation_e,語源,ごげん,gogen
japanese_jlpt_n1,feeling_sensation_mood,心地,ここち,kokochi
japanese_jlpt_n1,knowledge_information,心得,こころえ,kokoroe
japanese_jlpt_n1,readiness_intention_aim,心掛け,こころがけ,kokorogake
japanese_jlpt_n1,to_bear_in_mind_to_aim_to_d,心掛ける,こころがける,kokorogakeru
japanese_jlpt_n1,will_intention_motive,志,こころざし,kokorozashi
japanese_jlpt_n1,to_plan_to_intend_to_aspire,志す,こころざす,kokorozasu
japanese_jlpt_n1,heartening_reassuring,心強い,こころづよい,kokorozuyoi
japanese_jlpt_n1,helpless_hopeless_discourag,心細い,こころぼそい,kokorobosoi
japanese_jlpt_n1,trial_experiment,試み,こころみ,kokoromi
japanese_jlpt_n1,to_try_to_test,試みる,こころみる,kokoromiru
japanese_jlpt_n1,pleasant_agreeable,快い,こころよい,kokoroyoi
japanese_jlpt_n1,error,誤差,ごさ,gosa
japanese_jlpt_n1,to_be_polite_to_exist,ございます (かん),ございます (かん),gozaimasu kan
japanese_jlpt_n1,orphan,孤児,こじ,koji
japanese_jlpt_n1,to_get_complicated_to_grow_,こじれる,こじれる,kojireru
japanese_jlpt_n1,to_strain_to_filter,こす (みずを～),こす (みずを～),kosu
japanese_jlpt_n1,treetop,梢,こずえ,kozu e
japanese_jlpt_n1,individuality_personality_i,個性,こせい,kosei
japanese_jlpt_n1,census_family_register,戸籍,こせき,koseki
japanese_jlpt_n1,ancient_times,古代,こだい,kodai
japanese_jlpt_n1,table_with_heater_originall,こたつ,こたつ,kotatsu
japanese_jlpt_n1,to_fuss_over_to_be_particul,こだわる,こだわる,kodawaru
japanese_jlpt_n1,exaggeration,誇張,こちょう,kochō
japanese_jlpt_n1,secret_trick_hang,こつ (をつかむ),こつ (をつかむ),kotsu (o tsukamu)
japanese_jlpt_n1,funny_humorous_comical,滑稽,こっけい,kokkei
japanese_jlpt_n1,diplomatic_relations,国交,こっこう,kokkō
japanese_jlpt_n1,curio,骨董品,こっとうひん,kottōhin
japanese_jlpt_n1,fixation_fixing_e_g_salary_,固定,こてい,kotei
japanese_jlpt_n1,matter_thing_affair_circums,事柄,ことがら,kotogara
japanese_jlpt_n1,isolation_loneliness_solitu,孤独,こどく,kodoku
japanese_jlpt_n1,altogether_entirely,ことごとく,ことごとく,kotogotoku
japanese_jlpt_n1,to_leave_a_message,言付け,ことづけ,kototsuke
japanese_jlpt_n1,especially_above_all,殊に,ことに,koto ni
japanese_jlpt_n1,in_very_small_pieces,粉々,こなごな,konagona
japanese_jlpt_n1,nice_likable_desirable,好ましい,このましい,konomashii
japanese_jlpt_n1,go_board,碁盤,ごばん,goban
japanese_jlpt_n1,particular_case,個別,こべつ,kobetsu
japanese_jlpt_n1,to_deceive_to_falsify_to_mi,ごまかす,ごまかす,gomakasu
japanese_jlpt_n1,meager_modest,細やか,こまやか,komayaka
japanese_jlpt_n1,a_commercial,コマーシャル,コマーシャル,komāsharu
japanese_jlpt_n1,to_include_to_put_into,込める,こめる,komeru
japanese_jlpt_n1,comment,コメント,コメント,komento
japanese_jlpt_n1,to_seclude_oneself_to_be_co,籠もる,こもる,komoru
japanese_jlpt_n1,characteristic_tradition_pe,固有,こゆう,koyuu
japanese_jlpt_n1,calendar_almanac,暦,こよみ,koyomi
japanese_jlpt_n1,to_concentrate_to_devote_to,凝らす,こらす,korasu
japanese_jlpt_n1,look_please_try_to_do,ごらんなさい (かん),ごらんなさい (かん),gorannasai (kan)
japanese_jlpt_n1,isolation_helplessness,孤立,こりつ,koritsu
japanese_jlpt_n1,to_learn_by_experience_to_b,懲りる,こりる,koriru
japanese_jlpt_n1,to_stiffen_to_harden,凝る,こる,koru
japanese_jlpt_n1,patience_perseverance_energ,根気,こんき,konki
japanese_jlpt_n1,basis_foundation,根拠,こんきょ,konkyo
japanese_jlpt_n1,mixed_race_mixed_parentage,混血,こんけつ,konketsu
japanese_jlpt_n1,contact_contact_lens,コンタクト (レンズ),コンタクト (レンズ),kontakuto (renzu)
japanese_jlpt_n1,insect_bug,昆虫,こんちゅう,konchuu
japanese_jlpt_n1,root_basis_foundation,根底,こんてい,kontei
japanese_jlpt_n1,confusion_mixing_merger,混同,こんどう,kondō
japanese_jlpt_n1,contrast,コントラスト,コントラスト,kontorasuto
japanese_jlpt_n1,control,コントロール,コントロール,kontorooru
japanese_jlpt_n1,compass,コンパス,コンパス,konpasu
japanese_jlpt_n1,foundation_root_base,根本,こんぽん,konpon
japanese_jlpt_n1,fortune_riches,財,ざい,zai
japanese_jlpt_n1,meeting_again_reunion,再会,さいかい,saikai
japanese_jlpt_n1,calamity_disaster_misfortun,災害,さいがい,saigai
japanese_jlpt_n1,bacillus_bacterium_germ,細菌,さいきん,saikin
japanese_jlpt_n1,work_craftsmanship_trick,細工,さいく,saiku
japanese_jlpt_n1,mining,採掘,さいくつ,saikutsu
japanese_jlpt_n1,cycle,サイクル,サイクル,saikuru
japanese_jlpt_n1,vote_roll_call,採決,さいけつ,saiketsu
japanese_jlpt_n1,temple_or_shrine_rebuilding,再建,さいけん,saiken
japanese_jlpt_n1,reproduction_return_revival,再現,さいげん,saigen
japanese_jlpt_n1,source_of_funds_resources_f,財源,ざいげん,zaigen
japanese_jlpt_n1,stockpile_stock,在庫,ざいこ,zaiko
japanese_jlpt_n1,profit,採算,さいさん,saisan
japanese_jlpt_n1,size,サイズ,サイズ,saizu
japanese_jlpt_n1,playback_regeneration_resus,再生,さいせい,saisei
japanese_jlpt_n1,economy_financial_affairs,財政,ざいせい,zaisei
japanese_jlpt_n1,the_very_best,最善,さいぜん,saizen
japanese_jlpt_n1,adoption_selection_choice,採択,さいたく,saitaku
japanese_jlpt_n1,cultivation,栽培,さいばい,saibai
japanese_jlpt_n1,return_relapse_reoccurrence,再発,さいはつ,saihatsu
japanese_jlpt_n1,cell,細胞,さいぼう,saibō
japanese_jlpt_n1,use_adopt,採用,さいよう,saiyou
japanese_jlpt_n1,to_interrupt_to_intercept_t,遮る,さえぎる,saegiru
japanese_jlpt_n1,to_sing_to_chirp_to_twitter,さえずる,さえずる,saezuru
japanese_jlpt_n1,to_be_clear_to_be_bright_to,冴える,さえる,saeru
japanese_jlpt_n1,rod_pole_e_g_for_drying_lau,竿,さお,sao
japanese_jlpt_n1,to_flourish_to_prosper_to_t,栄える,さかえる,sakaeru
japanese_jlpt_n1,balance_difference_margin,差額,さがく,sagaku
japanese_jlpt_n1,wine_cup,杯,さかずき,sakaduki
japanese_jlpt_n1,handstand_headstand,逆立ち,さかだち,sakadachi
japanese_jlpt_n1,before_earlier_than_previou,さきに (いぜん),さきに (いぜん),saki ni (izen)
japanese_jlpt_n1,fraud_swindle,詐欺,さぎ,sagi
japanese_jlpt_n1,cut_reduction,削減,さくげん,sakugen
japanese_jlpt_n1,mistake,錯誤,さくご,sakugo
japanese_jlpt_n1,military_operations_tactics,作戦,さくせん,sakusen
japanese_jlpt_n1,to_lift_up_to_give_to_offer,捧げる,ささげる,sasageru
japanese_jlpt_n1,to_come_near_to_to_approach,差し掛かる,さしかかる,sashikakaru
japanese_jlpt_n1,instruction_mandate,指図,さしず,shazushizu
japanese_jlpt_n1,to_present_to_submit_to_hol,差し出す,さしだす,sashidasu
japanese_jlpt_n1,to_interfere_to_hinder,差し支える,さしつかえる,sashitsukaeru
